iter	Passed	Remaining
0	103	103340
1	106	53095
2	109	36284
3	111	27770
4	115	22910
5	119	19746
6	121	17253
7	125	15529
8	128	14103
9	131	12975
10	133	12046
11	135	11165
12	138	10531
13	141	9971
14	144	9493
15	147	9090
16	151	8736
17	153	8350
18	156	819	119	159	720	120	163	721	121	166	722	122	168	723	123	171	624	124	174	625	178	6680
26	181	6534
27	185	6426
28	189	6355
29	192	6215
30	193	6038
31	197	5979
32	202	5929
33	206	5876
34	209	5789
35	212	5693
36	215	5619
37	218	5538
38	221	5468
39	225	5408
40	228	5342
41	232	5303
42	236	5260
43	239	5203
44	241	5132
45	245	5094
46	249	5054
47	252	5007
48	255	4955
49	257	4901
50	260	4846
51	263	4796
52	265	4741
53	268	4710
54	272	4678
55	275	4644
56	279	4615
57	281	4567
58	283	4526
59	286	4490
60	289	4449
61	292	4419
62	295	4391
63	297	4350
64	300	4329
65	304	4306
66	308	4289
67	312	4276
68	315	4261
69	318	4236
70	321	4209
71	325	4195
72	328	4177
73	331	4148
74	335	4133
75	337	4107
76	341	4098
77	345	4078
78	347	4055
79	351	4044
80	354	4017
81	356	3995
82	360	3977
83	363	3959
84	365	3933
85	368	3920
86	372	3905
87	376	3901
88	379	3884
89	381	3861
90	385	3852
91	388	3835
92	391	3816
93	394	3802
94	397	3785
95	399	3762
96	403	3753
97	406	3737
98	409	3725
99	412	3714
100	415	3696
101	418	3685
102	422	3676
103	424	3657
104	427	3641
105	431	3637
106	434	3625
107	437	3614
108	441	3604
109	444	3596
110	447	3586
111	451	3581
112	454	3566
113	457	3556
114	460	3544
115	462	3526
116	465	3509
117	467	3497
118	470	3484
119	473	3468
120	476	3458
121	478	3445
122	481	3432
123	484	3424
124	487	3411
125	489	3394
126	493	3389
127	496	3380
128	498	3368
129	502	3360
130	504	3348
131	508	3342
132	511	3332
133	513	3318
134	516	3307
135	518	3294
136	521	3284
137	525	3285
138	529	3277
139	531	3266
140	534	3258
141	538	3252
142	541	3243
143	544	3239
144	547	3228
145	550	3221
146	553	3214
147	557	3211
148	560	3201
149	564	3196
150	566	3184
151	569	3175
152	571	3163
153	574	3155
154	577	3146
155	579	3136
156	584	3136
157	587	3131
158	591	3128
159	594	3119
160	597	3112
161	600	3104
162	604	3102
163	610	3113
164	615	3113
165	619	3113
166	624	3116
167	626	3104
168	630	3098
169	634	3099
170	639	3100
171	642	3090
172	644	3078
173	648	3076
174	652	3074
175	655	3071
176	658	3061
177	660	3049
178	664	3046
179	666	3035
180	669	3027
181	672	3023
182	675	3015
183	679	3015
184	682	3007
185	684	2997
186	688	2994
187	691	2987
188	694	2981
189	698	2976
190	700	2967
191	702	2957
192	705	2951
193	708	2942
194	710	2931
195	712	2922
196	715	2917
197	717	2906
198	719	2896
199	722	2891
200	725	2882
201	727	2875
202	730	2867
203	732	2859
204	734	2849
205	737	2842
206	739	2834
207	741	2824
208	744	2816
209	746	2808
210	749	2801
211	751	2793
212	754	2787
213	757	2780
214	760	2775
215	763	2771
216	765	2763
217	768	2757
218	771	2751
219	775	2747
220	779	2746
221	781	2739
222	784	2733
223	787	2726
224	789	2720
225	792	2714
226	795	2707
227	797	2701
228	800	2694
229	803	2688
230	805	2682
231	808	2676
232	810	2669
233	813	2662
234	816	2658
235	819	2653
236	821	2646
237	824	2640
238	826	2633
239	829	2628
240	833	2623
241	835	2617
242	837	2609
243	840	2604
244	843	2600
245	847	2596
246	849	2590
247	852	2584
248	854	2575
249	856	2568
250	859	2563
251	861	2556
252	863	2551
253	866	2545
254	868	2538
255	872	2534
256	874	2528
257	876	2522
258	879	2517
259	882	2512
260	885	2508
261	888	2503
262	892	2499
263	895	2495
264	898	2492
265	902	2489
266	905	2486
267	908	2481
268	911	2477
269	914	2473
270	917	2467
271	920	2462
272	922	2457
273	925	2452
274	927	2446
275	932	2446
276	934	2440
277	939	2440
278	942	2435
279	946	2433
280	949	2429
281	952	2424
282	955	2420
283	958	2416
284	961	2411
285	963	2405
286	967	2403
287	969	2397
288	972	2393
289	975	2387
290	977	2382
291	980	2378
292	984	2374
293	986	2369
294	989	2363
295	991	2359
296	995	2355
297	998	2351
298	999	2342
299	1001	2337
300	1004	2332
301	1007	2328
302	1010	2324
303	1013	2320
304	1016	2315
305	1019	2311
306	1021	2306
307	1024	2301
308	1026	2296
309	1030	2292
310	1032	2288
311	1034	2280
312	1038	2278
313	1041	2275
314	1044	2272
315	1048	2268
316	1050	2264
317	1054	2261
318	1056	2256
319	1060	2253
320	1062	2248
321	1065	2244
322	1067	2238
323	1071	2234
324	1074	2231
325	1077	2228
326	1080	2223
327	1083	2219
328	1087	2218
329	1089	2212
330	1092	2207
331	1095	2204
332	1098	2201
333	1101	2196
334	1104	2192
335	1108	2190
336	1111	2186
337	1113	2181
338	1116	2176
339	1119	2173
340	1122	2169
341	1126	2166
342	1129	2163
343	1132	2159
344	1135	2155
345	1138	2151
346	1140	2145
347	1142	2141
348	1145	2136
349	1148	2133
350	1152	2130
351	1155	2127
352	1158	2123
353	1162	2121
354	1166	2118
355	1169	2115
356	1172	2111
357	1175	2108
358	1177	2103
359	1180	2098
360	1184	2095
361	1187	2092
362	1190	2089
363	1194	2086
364	1197	2083
365	1200	2079
366	1203	2075
367	1205	2070
368	1208	2066
369	1211	2062
370	1214	2058
371	1216	2053
372	1219	2050
373	1222	2045
374	1225	2042
375	1227	2037
376	1230	2033
377	1233	2028
378	1235	2024
379	1239	2021
380	1242	2018
381	1243	2012
382	1245	2007
383	1249	2004
384	1252	1999
385	1255	1996
386	1258	1994
387	1262	1990
388	1265	1987
389	1268	1984
390	1272	1981
391	1276	1979
392	1279	1975
393	1281	1971
394	1284	1967
395	1287	1963
396	1290	1960
397	1293	1956
398	1296	1953
399	1299	1949
400	1302	1945
401	1304	1941
402	1309	1939
403	1311	1935
404	1315	1933
405	1318	1929
406	1321	1926
407	1325	1923
408	1328	1919
409	1332	1917
410	1334	1913
411	1337	1909
412	1340	1905
413	1343	1901
414	1346	1897
415	1349	1893
416	1352	1891
417	1355	1886
418	1357	1882
419	1360	1878
420	1363	1875
421	1365	1870
422	1368	1866
423	1374	1866
424	1376	1862
425	1379	1859
426	1382	1854
427	1385	1851
428	1388	1848
429	1391	1844
430	1394	1841
431	1397	1837
432	1400	1833
433	1402	1829
434	1405	1825
435	1408	1822
436	1411	1818
437	1413	1813
438	1416	1810
439	1419	1806
440	1422	1802
441	1425	1799
442	1427	1794
443	1430	1791
444	1432	1787
445	1435	1782
446	1437	1778
447	1439	1773
448	1442	1769
449	1445	1766
450	1447	1762
451	1449	1757
452	1452	1754
453	1454	1749
454	1457	1745
455	1460	1742
456	1462	1738
457	1465	1734
458	1468	1730
459	1470	1726
460	1473	1722
461	1476	1719
462	1478	1715
463	1481	1711
464	1484	1707
465	1486	1703
466	1489	1699
467	1492	1696
468	1495	1692
469	1497	1688
470	1499	1684
471	1502	1681
472	1505	1677
473	1508	1674
474	1511	1670
475	1513	1665
476	1516	1662
477	1518	1658
478	1520	1653
479	1522	1649
480	1523	1643
481	1525	1639
482	1528	1636
483	1530	1632
484	1533	1628
485	1537	1625
486	1539	1621
487	1541	1617
488	1544	1613
489	1546	1610
490	1550	1606
491	1553	1603
492	1555	1599
493	1558	1596
494	1561	1592
495	1563	1589
496	1566	1585
497	1569	1582
498	1572	1578
499	1576	1576
500	1579	1572
501	1581	1568
502	1584	1566
503	1587	1561
504	1589	1558
505	1592	1554
506	1595	1551
507	1597	1547
508	1600	1544
509	1602	1540
510	1605	1536
511	1608	1533
512	1611	1529
513	1613	1525
514	1616	1522
515	1619	1519
516	1622	1515
517	1624	1511
518	1627	1508
519	1630	1505
520	1633	1501
521	1636	1498
522	1639	1495
523	1641	1491
524	1643	1487
525	1646	1483
526	1649	1480
527	1651	1476
528	1654	1473
529	1657	1469
530	1659	1465
531	1662	1462
532	1665	1459
533	1667	1454
534	1669	1451
535	1672	1447
536	1675	1444
537	1678	1441
538	1680	1437
539	1682	1433
540	1685	1430
541	1688	1427
542	1691	1423
543	1694	1420
544	1696	1416
545	1699	1413
546	1702	1409
547	1705	1406
548	1707	1402
549	1711	1399
550	1713	1396
551	1716	1393
552	1718	1388
553	1720	1385
554	1722	1380
555	1724	1377
556	1727	1373
557	1729	1369
558	1732	1366
559	1734	1362
560	1737	1359
561	1739	1355
562	1742	1352
563	1744	1348
564	1747	1345
565	1750	1342
566	1752	1338
567	1755	1335
568	1758	1331
569	1760	1327
570	1762	1324
571	1765	1321
572	1767	1317
573	1770	1313
574	1773	1310
575	1775	1306
576	1778	1303
577	1781	1300
578	1784	1297
579	1787	1294
580	1790	1291
581	1792	1287
582	1795	1284
583	1798	1281
584	1801	1277
585	1805	1275
586	1808	1272
587	1811	1269
588	1813	1265
589	1816	1262
590	1819	1259
591	1821	1255
592	1824	1251
593	1827	1249
594	1831	1246
595	1833	1243
596	1836	1239
597	1839	1236
598	1842	1233
599	1844	1609	600	1847	1610	601	1850	1611	602	1853	1612	603	1857	1613	604	1860	1614	605	1863	1615	606	1867	1616	607	1872	1617	608	1876	1618	609	1880	1619	610	1883	1620	611	1886	1621	1891	1149
622	1895	1147
623	1899	1144
624	1902	1141
625	1906	1138
626	1908	1135
627	1912	1132
628	1916	1130
629	1919	1127
630	1922	1124
631	1925	1121
632	1928	1117
633	1930	1114
634	1934	1111
635	1937	1108
636	1940	1105
637	1944	1103
638	1947	1100
639	1952	1098
640	1955	1095
641	1958	1092
642	1962	1089
643	1965	1086
644	1969	1084
645	1972	1080
646	1977	1079
647	1981	1076
648	1984	1073
649	1986	1069
650	1989	1066
651	1993	1064
652	1997	1061
653	2001	1058
654	2005	1056
655	2009	1053
656	2012	1050
657	2015	1047
658	2018	1044
659	2021	1041
660	2024	1038
661	2028	1035
662	2032	1032
663	2035	1029
664	2037	1026
665	2041	1023
666	2044	1020
667	2047	1017
668	2050	1014
669	2054	1011
670	2057	1008
671	2060	1005
672	2063	1002
673	2066	999
674	2069	996
675	2071	992
676	2073	989
677	2076	986
678	2080	983
679	2084	980
680	2087	977
681	2092	975
682	2096	972
683	2099	970
684	2102	966
685	2105	963
686	2108	960
687	2112	957
688	2115	954
689	2118	951
690	2121	948
691	2124	945
692	2127	942
693	2130	939
694	2133	936
695	2136	933
696	2139	930
697	2143	927
698	2146	924
699	2149	921
700	2152	918
701	2155	915
702	2158	912
703	2162	909
704	2166	906
705	2168	902
706	2170	899
707	2174	897
708	2179	894
709	2183	891
710	2185	888
711	2188	885
712	2191	882
713	2195	879
714	2198	876
715	2200	873
716	2204	869
717	2206	866
718	2209	863
719	2213	860
720	2216	857
721	2220	855
722	2223	851
723	2227	848
724	2231	846
725	2235	843
726	2239	840
727	2241	837
728	2245	834
729	2248	831
730	2252	828
731	2255	825
732	2258	822
733	2262	819
734	2265	816
735	2268	813
736	2271	810
737	2274	807
738	2277	804
739	2280	801
740	2284	798
741	2287	795
742	2290	792
743	2295	789
744	2297	786
745	2300	783
746	2304	780
747	2307	777
748	2310	774
749	2313	771
750	2316	768
751	2319	764
752	2322	761
753	2325	758
754	2329	755
755	2331	752
756	2335	749
757	2338	746
758	2342	743
759	2345	740
760	2347	737
761	2351	734
762	2355	731
763	2358	728
764	2361	725
765	2364	722
766	2367	719
767	2369	715
768	2373	712
769	2376	709
770	2380	706
771	2382	703
772	2387	701
773	2389	697
774	2393	694
775	2396	691
776	2398	688
777	2402	685
778	2405	682
779	2409	679
780	2413	676
781	2416	673
782	2419	670
783	2423	667
784	2424	664
785	2428	661
786	2431	657
787	2434	654
788	2437	651
789	2441	649
790	2444	645
791	2447	642
792	2451	639
793	2454	636
794	2458	633
795	2461	630
796	2463	627
797	2467	624
798	2470	621
799	2474	618
800	2477	615
801	2480	612
802	2483	609
803	2487	606
804	2491	603
805	2494	600
806	2499	597
807	2503	594
808	2507	592
809	2510	588
810	2514	585
811	2518	583
812	2521	579
813	2523	576
814	2526	573
815	2529	570
816	2532	567
817	2535	564
818	2539	561
819	2542	558
820	2545	555
821	2548	551
822	2551	548
823	2555	545
824	2558	542
825	2560	539
826	2564	536
827	2567	533
828	2570	530
829	2574	527
830	2577	524
831	2582	521
832	2584	518
833	2587	514
834	2591	512
835	2594	508
836	2597	505
837	2600	502
838	2604	499
839	2607	496
840	2610	493
841	2613	490
842	2616	487
843	2619	484
844	2621	480
845	2624	477
846	2628	474
847	2631	471
848	2634	468
849	2638	465
850	2641	462
851	2645	459
852	2648	456
853	2651	453
854	2654	450
855	2657	447
856	2660	443
857	2663	440
858	2667	437
859	2670	434
860	2673	431
861	2677	428
862	2679	425
863	2682	422
864	2688	419
865	2691	416
866	2695	413
867	2698	410
868	2703	407
869	2707	404
870	2712	401
871	2714	398
872	2717	395
873	2720	392
874	2723	389
875	2727	386
876	2730	382
877	2734	379
878	2738	377
879	2741	373
880	2745	370
881	2749	367
882	2752	364
883	2756	361
884	2759	358
885	2763	355
886	2766	352
887	2769	349
888	2771	346
889	2774	342
890	2776	339
891	2779	336
892	2785	333
893	2788	330
894	2790	327
895	2793	324
896	2796	321
897	2798	317
898	2800	314
899	2802	311
900	2804	308
901	2806	304
902	2809	301
903	2811	298
904	2812	295
905	2815	292
906	2817	288
907	2819	285
908	2821	282
909	2823	279
910	2825	276
911	2827	272
912	2829	269
913	2831	266
914	2834	263
915	2836	260
916	2838	256
917	2841	253
918	2843	250
919	2845	247
920	2847	244
921	2849	241
922	2851	237
923	2853	234
924	2856	231
925	2858	228
926	2860	225
927	2863	222
928	2865	219
929	2868	215
930	2871	212
931	2873	209
932	2875	206
933	2877	203
934	2879	200
935	2881	197
936	2883	193
937	2885	190
938	2887	187
939	2889	184
940	2891	181
941	2893	178
942	2895	175
943	2897	171
944	2899	168
945	2901	165
946	2903	162
947	2905	159
948	2907	156
949	2908	153
950	2910	149
951	2912	146
952	2913	143
953	2915	140
954	2917	137
955	2919	134
956	2921	131
957	2923	128
958	2924	125
959	2926	121
960	2928	118
961	2929	115
962	2931	112
963	2932	109
964	2934	106
965	2936	103
966	2937	100
967	2938	97
968	2940	94
969	2941	90
970	2943	87
971	2944	84
972	2946	81
973	2947	78
974	2949	75
975	2950	72
976	2952	69
977	2953	66
978	2955	63
979	2956	60
980	2958	57
981	2959	54
982	2960	51
983	2962	48
984	2963	45
985	2965	42
986	2966	39
987	2967	36
988	2969	33
989	2970	30
990	2972	26
991	2973	23
992	2974	20
993	2976	17
994	2977	14
995	2979	11
996	2980	8
997	2982	5
998	2983	2
999	2984	0

989	2933	29
990	2934	26
991	2936	23
992	2937	20
993	2939	17
994	2940	14
995	2942	11
996	2943	8
997	2945	5
998	2946	2
999	2948	0
